legacy_sku,new_sku,legacy_type,verified_present_in_final_master,migration_rule
CTGBDL001,CTCG-BDL-000001,Coffret Fabricant,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0006,CTCG-NI-000006,Pack,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0007,CTCG-NI-000007,Pack,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0008,CTCG-NI-000008,Pack,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0009,CTCG-NI-000009,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0010,CTCG-NI-000010,Pack,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0011,CTCG-NI-000011,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0012,CTCG-NI-000012,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0013,CTCG-NI-000013,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0014,CTCG-NI-000014,Pack,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0015,CTCG-NI-000015,Pack,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0016,CTCG-NI-000016,Pack,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0017,CTCG-NI-000017,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0018,CTCG-NI-000018,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0019,CTCG-NI-000019,Pack,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0020,CTCG-NI-000020,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0021,CTCG-NI-000021,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0022,CTCG-NI-000022,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0023,CTCG-NI-000023,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0024,CTCG-NI-000024,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0025,CTCG-NI-000025,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0026,CTCG-NI-000026,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0027,CTCG-NI-000027,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0028,CTCG-NI-000028,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0029,CTCG-NI-000029,Pack,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0030,CTCG-NI-000030,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- numéro legacy conservé; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGNI0032,CTCG-NI-000032,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0033,CTCG-NI-000033,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0034,CTCG-NI-000034,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- numéro legacy conservé; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGNI0035,CTCG-NI-000035,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- numéro legacy conservé; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGNI0036,CTCG-NI-000036,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- numéro legacy conservé; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGNI0037,CTCG-NI-000037,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- numéro legacy conservé; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGNI0038,CTCG-NI-000038,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- numéro legacy conservé; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGNI0039,CTCG-NI-000039,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- numéro legacy conservé; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGNI0040,CTCG-NI-000040,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- numéro legacy conservé; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGNI0041,CTCG-NI-000041,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- numéro legacy conservé; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGNI0042,CTCG-NI-000042,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- numéro legacy conservé; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGNI0043,CTCG-NI-000043,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- numéro legacy conservé; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGRD0001,CTCG-RD-000001,Pack,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGRD0002,CTCG-RD-000002,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGRD0003,CTCG-RD-000003,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGRD0004,CTCG-RD-000004,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGRD0005,CTCG-RD-000005,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGRD0006,CTCG-RD-000006,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGRD0007,CTCG-RD-000007,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGRD0008,CTCG-RD-000008,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGRD0009,CTCG-RD-000009,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGRD0010,CTCG-RD-000010,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGRD0011,CTCG-RD-000011,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGACC-ETU,CTCG-ACC-ETU,Accessoire,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGACC-CEN,CTCG-ACC-CEN,Accessoire,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGACC-HUM,CTCG-ACC-HUM,Accessoire,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGACC-CUT,CTCG-ACC-CUT,Accessoire,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGACC-CAP,CTCG-ACC-CAP,Accessoire,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGACC-BRI,CTCG-ACC-BRI,Accessoire,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGSRV-PER,CTCG-SRV-PER,Service,NO,Historique/orphelin -- aucune ligne skus jamais créée pour ce service (jamais suivi en stock); déjà utilisé au format CTCG-SRV-PER dans les ventes historiques réelles importées (scripts/master2_order_items.csv). Aucune action de migration nécessaire, gardé ici pour traçabilité uniquement.
CTGSRV-SAC,CTCG-SRV-SAC,Service,NO,Historique/orphelin -- aucune ligne skus jamais créée pour ce service (jamais suivi en stock); déjà utilisé au format CTCG-SRV-SAC dans les ventes historiques réelles importées (scripts/master2_order_items.csv). Aucune action de migration nécessaire, gardé ici pour traçabilité uniquement.
