order_item_id,order_id,item_type,item_sku,source_item_type,brand,series,vitole,quantity,allocated_unit_revenue_xaf,allocated_line_revenue_xaf,standard_unit_cost_xaf,standard_line_cost_xaf,actual_line_cost_xaf,cost_variance_vs_standard_xaf,line_note,order_type,source_system,source_record_id,source_sheet,source_row
CTCG-SALE-000004-L03,CTCG-SALE-000004,ACCESSORY,CTCG-ACC-ETU,Accessoire,Divers,Étui,,1,16667,16667,9021.366666666667,9021.366666666667,9021.366666666667,0.0,VVIP,Cadeau,MASTER_GESTION,CTCG-SALE-000004-M13,12_Mouvements,13
CTCG-SALE-000004-L04,CTCG-SALE-000004,ACCESSORY,CTCG-ACC-BRI,Accessoire,Hilands,Briquet,,1,5000,5000,0,0.0,0,0.0,VVIP,Cadeau,MASTER_GESTION,CTCG-SALE-000004-M14,12_Mouvements,14
CTCG-SALE-000004-L05,CTCG-SALE-000004,ACCESSORY,CTCG-ACC-CEN,Accessoire,Divers,Cendrier,,1,21250,21250,7614.724999999999,7614.724999999999,7614.724999999999,0.0,VVIP,Cadeau,MASTER_GESTION,CTCG-SALE-000004-M15,12_Mouvements,15
CTCG-SALE-000004-L06,CTCG-SALE-000004,SERVICE,CTCG-SRV-PER,Service,CitiCigars,Personnalisation,,1,10000,10000,5000,5000.0,5000,0.0,VVIP,Cadeau,MASTER_GESTION,CTCG-SALE-000004-M16,12_Mouvements,16
CTCG-SALE-000004-L07,CTCG-SALE-000004,BUNDLE,CTCG-BDL-000003,Coffret Fabricant,Horacio,Le Coffret,Sampler,1,90000,90000,58382.22,58382.22,58382.22,0.0,VIP — coffret Horacio,Cadeau,MASTER_GESTION,CTCG-SALE-000004-M17,12_Mouvements,17
CTCG-SALE-000004-L08,CTCG-SALE-000004,ACCESSORY,CTCG-ACC-ETU,Accessoire,Divers,Étui,,1,16667,16667,9021.366666666667,9021.366666666667,9021.366666666667,0.0,VIP,Cadeau,MASTER_GESTION,CTCG-SALE-000004-M18,12_Mouvements,18
CTCG-SALE-000004-L09,CTCG-SALE-000004,ACCESSORY,CTCG-ACC-CUT,Accessoire,Divers,Coupe-cigare,,1,15000,15000,7642.400000000001,7642.400000000001,7642.400000000001,0.0,VIP,Cadeau,MASTER_GESTION,CTCG-SALE-000004-M19,12_Mouvements,19
CTCG-SALE-000004-L10,CTCG-SALE-000004,ACCESSORY,CTCG-ACC-BRI,Accessoire,Hilands,Briquet,,1,5000,5000,0,0.0,0,0.0,VIP,Cadeau,MASTER_GESTION,CTCG-SALE-000004-M20,12_Mouvements,20
CTCG-SALE-000004-L11,CTCG-SALE-000004,ACCESSORY,CTCG-ACC-CEN,Accessoire,Divers,Cendrier,,1,21250,21250,7614.724999999999,7614.724999999999,7614.724999999999,0.0,VIP,Cadeau,MASTER_GESTION,CTCG-SALE-000004-M21,12_Mouvements,21
CTCG-SALE-000004-L12,CTCG-SALE-000004,SERVICE,CTCG-SRV-PER,Service,CitiCigars,Personnalisation,,1,10000,10000,5000,5000.0,5000,0.0,VIP,Cadeau,MASTER_GESTION,CTCG-SALE-000004-M22,12_Mouvements,22
CTCG-SALE-000004-L13,CTCG-SALE-000004,ACCESSORY,CTCG-ACC-HUM,Accessoire,Divers,Humidor / Boîte,,1,40000,40000,10500.099999999999,10500.099999999999,10500.099999999999,0.0,Humidor & Triumph,Cadeau,MASTER_GESTION,CTCG-SALE-000004-M23,12_Mouvements,23
CTCG-SALE-000004-L14,CTCG-SALE-000004,BUNDLE,CTCG-BDL-000002,Coffret Fabricant,Perez-Carrillo Series,Triumph 3-Pack,E-III / Majestic / Prequel,1,45000,45000,14047.755143489094,14047.755143489094,14047.755143489094,0.0,Humidor & Triumph,Cadeau,MASTER_GESTION,CTCG-SALE-000004-M24,12_Mouvements,24
CTCG-SALE-000004-L15,CTCG-SALE-000004,BUNDLE,CTCG-BDL-000002,Coffret Fabricant,Perez-Carrillo Series,Triumph 3-Pack,E-III / Majestic / Prequel,1,45000,45000,14047.755143489094,14047.755143489094,14047.755143489094,0.0,Trilogy,Cadeau,MASTER_GESTION,CTCG-SALE-000004-M25,12_Mouvements,25
CTCG-SALE-000004-L16,CTCG-SALE-000004,SERVICE,CTCG-SRV-SAC,Service,CitiCigars,Sac cadeau / emballage,Emballage extérieur,4,2291.5,9166,2000,8000.0,8000,0.0,Sacs cadeaux,Cadeau,MASTER_GESTION,CTCG-SALE-000004-M26,12_Mouvements,26
CTCG-SALE-000005-L01,CTCG-SALE-000005,BUNDLE,CTCG-BDL-000002,Coffret Fabricant,Perez-Carrillo Series,Triumph 3-Pack,E-III / Majestic / Prequel,2,45000,90000,14047.755143489094,28095.510286978188,28095.510286978188,0.0,,Vente,MASTER_GESTION,CTCG-SALE-000005-M27,12_Mouvements,27
CTCG-SALE-000006-L01,CTCG-SALE-000006,BUNDLE,CTCG-BDL-000003,Coffret Fabricant,Horacio,Le Coffret,Sampler,1,90000,70000,58382.22,58382.22,58382.22,0.0,,Vente,MASTER_GESTION,CTCG-SALE-000006-M28,12_Mouvements,28
CTCG-SALE-000007-L01,CTCG-SALE-000007,PRODUCT,CTCG-NI-000010,Pack,Montecristo,1935 Anniversary Nicaragua,N°2 Figurado,1,75000,75000,31215.777329184624,31215.777329184624,31215.777329184624,0.0,,Vente,MASTER_GESTION,CTCG-SALE-000007-M29,12_Mouvements,29
CTCG-SALE-000007-L02,CTCG-SALE-000007,PRODUCT,CTCG-NI-000021,Boîte,Oliva,Serie V,Double Toro,1,300000,280000,135694.34716318984,135694.34716318984,135694.34716318984,0.0,,Vente,MASTER_GESTION,CTCG-SALE-000007-M30,12_Mouvements,30
CTCG-SALE-000007-L03,CTCG-SALE-000007,BUNDLE,CTCG-BDL-000004,Coffret Composite,CitiCigars,Nos meilleurs 660,4 cigares Gordo,1,50000,55000,24433.150349615626,24433.150349615626,24433.150349615626,0.0,,Vente,MASTER_GESTION,CTCG-SALE-000007-M31,12_Mouvements,31
CTCG-SALE-000009-L01,CTCG-SALE-000009,PRODUCT,CTCG-NI-000022,Boîte,Oliva,Serie V Melanio,Churchill,1,130000,130000,79073.86400122565,79073.86400122565,79073.86400122565,0.0,Boîte Oliva Melanio Churchill,Cadeau,MASTER_GESTION,CTCG-SALE-000009-M37,12_Mouvements,37
CTCG-SALE-000009-L02,CTCG-SALE-000009,ACCESSORY,CTCG-ACC-CUT,Accessoire,Divers,Coupe-cigare,,1,15000,10000,7642.400000000001,7642.400000000001,7642.400000000001,0.0,,Cadeau,MASTER_GESTION,CTCG-SALE-000009-M38,12_Mouvements,38
CTCG-SALE-000009-L03,CTCG-SALE-000009,ACCESSORY,CTCG-ACC-BRI,Accessoire,Hilands,Briquet,,1,5000,0,0,0.0,0,0.0,,Cadeau,MASTER_GESTION,CTCG-SALE-000009-M39,12_Mouvements,39
CTCG-SALE-000009-L04,CTCG-SALE-000009,SERVICE,CTCG-SRV-SAC,Service,CitiCigars,Sac cadeau / emballage,,1,10000,10000,2000,2000.0,2000,0.0,Sac cadeau,Cadeau,MASTER_GESTION,CTCG-SALE-000009-M40,12_Mouvements,40
CTCG-SALE-000010-L01,CTCG-SALE-000010,PRODUCT,CTCG-NI-000026,Boîte,Oliva,Serie V Melanio Maduro,Churchill,1,135000,135000,83236.52266627227,83236.52266627227,83236.52266627227,0.0,,Vente,MASTER_GESTION,CTCG-SALE-000010-M41,12_Mouvements,41
CTCG-SALE-000010-L02,CTCG-SALE-000010,PRODUCT,CTCG-RD-000001,Pack,Montecristo,White,Toro,1,60000,60000,37923.36216400624,37923.36216400624,37923.36216400624,0.0,,Vente,MASTER_GESTION,CTCG-SALE-000010-M42,12_Mouvements,42
CTCG-SALE-000010-L03,CTCG-SALE-000010,SERVICE,CTCG-SRV-LIVX,Service,CitiCigars,Livraison Extra,,1,5000,0,2000,2000.0,0,-2000.0,Offert par la maison,Vente,MASTER_GESTION,CTCG-SALE-000010-M43,12_Mouvements,43
CTCG-SALE-000011-L01,CTCG-SALE-000011,BUNDLE,CTCG-BDL-000006,Coffret Composite,CitiCigars,Pack Initiation,4 cigares Robusto,1,40000,28000,27695.18885485391,27695.18885485391,27695.18885485391,0.0,Pack Initiation (SKU corrigé),Vente,MASTER_GESTION,CTCG-SALE-000011-M44,12_Mouvements,44
CTCG-SALE-000011-L02,CTCG-SALE-000011,PRODUCT,CTCG-RD-000011,Boîte,New Wave Series,New Wave Connecticut,Brillantes,1,160000,132000,50787.25648405313,50787.25648405313,50787.25648405313,0.0,,Vente,MASTER_GESTION,CTCG-SALE-000011-M45,12_Mouvements,45
CTCG-SALE-000012-L01,CTCG-SALE-000012,BUNDLE,CTCG-BDL-000003,Coffret Fabricant,Horacio,Le Coffret,Sampler,1,90000,90000,58382.22,58382.22,58382.22,0.0,Coffret Horacio,Cadeau,MASTER_GESTION,CTCG-SALE-000012-M46,12_Mouvements,46
CTCG-SALE-000012-L02,CTCG-SALE-000012,ACCESSORY,CTCG-ACC-HUM,Accessoire,Divers,Humidor / Boîte,,1,40000,40000,10500.099999999999,10500.099999999999,10500.099999999999,0.0,Humidor,Cadeau,MASTER_GESTION,CTCG-SALE-000012-M47,12_Mouvements,47
CTCG-SALE-000012-L03,CTCG-SALE-000012,ACCESSORY,CTCG-ACC-CUT,Accessoire,Divers,Coupe-cigare,,1,15000,10000,7642.400000000001,7642.400000000001,7642.400000000001,0.0,,Cadeau,MASTER_GESTION,CTCG-SALE-000012-M48,12_Mouvements,48
CTCG-SALE-000012-L04,CTCG-SALE-000012,SERVICE,CTCG-SRV-PER,Service,CitiCigars,Personnalisation,,1,10000,10000,5000,5000.0,5000,0.0,,Cadeau,MASTER_GESTION,CTCG-SALE-000012-M49,12_Mouvements,49
CTCG-SALE-000013-L01,CTCG-SALE-000013,PRODUCT,CTCG-NI-000023,Boîte,Oliva,Serie V Melanio,Torpedo,1,165000,160000,79073.86400122565,79073.86400122565,79073.86400122565,0.0,,Vente,MASTER_GESTION,CTCG-SALE-000013-M50,12_Mouvements,50
CTCG-SALE-000013-L02,CTCG-SALE-000013,PRODUCT,CTCG-NI-000028,Boîte,Oliva,Serie V Melanio Maduro,Gordo (Double Toro),1,140000,140000,89064.24479733752,89064.24479733752,89064.24479733752,0.0,,Vente,MASTER_GESTION,CTCG-SALE-000013-M51,12_Mouvements,51
CTCG-SALE-000013-L03,CTCG-SALE-000013,BUNDLE,CTCG-BDL-000007,Coffret Composite,CitiCigars,Toro Prestige,5 cigares Toro,1,62500,62500,28264.767920159244,28264.767920159244,28264.767920159244,0.0,Toro Prestige (SKU corrigé),Vente,MASTER_GESTION,CTCG-SALE-000013-M52,12_Mouvements,52
CTCG-SALE-000013-L04,CTCG-SALE-000013,SERVICE,CTCG-SRV-LIVX,Service,CitiCigars,Livraison Extra,,1,5000,0,2000,2000.0,2000,0.0,,Vente,MASTER_GESTION,CTCG-SALE-000013-M53,12_Mouvements,53
CTCG-SALE-000014-L01,CTCG-SALE-000014,PRODUCT,CTCG-NI-000001,Boîte,CAO,Flathead Big,V770 Gigante,1,384000,368000,149839.06130701824,149839.06130701824,149839.06130701824,0.0,,Vente,MASTER_GESTION,CTCG-SALE-000014-M54,12_Mouvements,54
CTCG-SALE-000015-L01,CTCG-SALE-000015,BUNDLE,CTCG-BDL-000002,Coffret Fabricant,Perez-Carrillo Series,Triumph 3-Pack,E-III / Majestic / Prequel,10,45000,400000,14047.755143489094,140477.55143489095,140477.55143489095,0.0,,Vente,MASTER_GESTION,CTCG-SALE-000015-M55,12_Mouvements,55
CTCG-SALE-000016-L01,CTCG-SALE-000016,BUNDLE,CTCG-BDL-000002,Coffret Fabricant,Perez-Carrillo Series,Triumph 3-Pack,E-III / Majestic / Prequel,6,45000,180000,14047.755143489094,84286.53086093457,84286.53086093457,0.0,,Vente,MASTER_GESTION,CTCG-SALE-000016-M56,12_Mouvements,56
CTCG-SALE-000017-L01,CTCG-SALE-000017,PRODUCT,CTCG-NI-000024,Boîte,Oliva,Serie V Melanio,Gordo (Double Toro),1,140000,190000,89064.24479733752,89064.24479733752,89064.24479733752,0.0,VVIP 1,Cadeau,MASTER_GESTION,CTCG-SALE-000017-M57,12_Mouvements,57
CTCG-SALE-000017-L02,CTCG-SALE-000017,PRODUCT,CTCG-NI-000033,Boîte,Plasencia,Alma Fuerte,Toro (Nestor IV),1,120000,154166,70756.87198846249,70756.87198846249,70756.87198846249,0.0,VVIP 2,Cadeau,MASTER_GESTION,CTCG-SALE-000017-M58,12_Mouvements,58
CTCG-SALE-000017-L03,CTCG-SALE-000017,ACCESSORY,CTCG-ACC-CUT,Accessoire,Divers,Coupe-cigare,,2,15000,30000,7642.400000000001,15284.800000000001,15284.800000000001,0.0,,Cadeau,MASTER_GESTION,CTCG-SALE-000017-M59,12_Mouvements,59
CTCG-SALE-000017-L04,CTCG-SALE-000017,ACCESSORY,CTCG-ACC-ETU,Accessoire,Divers,Étui,,2,16667,33334,9021.366666666667,18042.733333333334,18042.733333333334,0.0,,Cadeau,MASTER_GESTION,CTCG-SALE-000017-M60,12_Mouvements,60
CTCG-SALE-000017-L05,CTCG-SALE-000017,ACCESSORY,CTCG-ACC-BRI,Accessoire,Hilands,Briquet,,2,5000,10000,0,0.0,0,0.0,,Cadeau,MASTER_GESTION,CTCG-SALE-000017-M61,12_Mouvements,61
CTCG-SALE-000017-L06,CTCG-SALE-000017,ACCESSORY,CTCG-ACC-CEN,Accessoire,Divers,Cendrier,,2,21250,42500,7614.724999999999,15229.449999999999,15229.449999999999,0.0,,Cadeau,MASTER_GESTION,CTCG-SALE-000017-M62,12_Mouvements,62
CTCG-SALE-000017-L07,CTCG-SALE-000017,SERVICE,CTCG-SRV-PER,Service,CitiCigars,Personnalisation,,2,10000,20000,5000,10000.0,10000,0.0,,Cadeau,MASTER_GESTION,CTCG-SALE-000017-M63,12_Mouvements,63
CTCG-SALE-000017-L08,CTCG-SALE-000017,SERVICE,CTCG-SRV-SAC,Service,CitiCigars,Sac cadeau / emballage,,2,10000,20000,2000,4000.0,4000,0.0,,Cadeau,MASTER_GESTION,CTCG-SALE-000017-M64,12_Mouvements,64
CTCG-SALE-000017-L09,CTCG-SALE-000017,SERVICE,CTCG-SRV-LIV,Service,CitiCigars,Livraison,,1,2000,0,2000,2000.0,10000,8000.0,,Cadeau,MASTER_GESTION,CTCG-SALE-000017-M65,12_Mouvements,65
